wall_time,unix_sec,source,event
2026-09-07T15:41:19.285+08:00,1788766879.285738,console/rosbag,"/mavros/state: [False, False, '']"
2026-09-07T15:41:22.125+08:00,1788766882.125350,console/rosbag,/mavros/extended_state: 1
2026-09-07T15:41:22.626+08:00,1788766882.626842,console/rosbag,"/mavros/state: [True, False, 'CMODE(131072)']"
2026-09-07T15:41:23.624+08:00,1788766883.624928,console/rosbag,"/mavros/state: [True, False, 'ALTCTL']"
2026-09-07T15:42:51.328+08:00,1788766971.328198,console/rosbag,/px4ctrl/takeoff_land: 1
2026-09-07T15:42:51.445+08:00,1788766971.445863,console/rosbag,[px4ctrl] MANUAL_CTRL(L1) --> AUTO_TAKEOFF
2026-09-07T15:42:51.625+08:00,1788766971.625355,console/rosbag,"/mavros/state: [True, True, 'OFFBOARD']"
2026-09-07T15:42:51.625+08:00,1788766971.625374,console/rosbag,/mavros/extended_state: 2
2026-09-07T15:43:01.587+08:00,1788766981.587613,console/rosbag,[px4ctrl] AUTO_TAKEOFF --> AUTO_HOVER(L2)
2026-09-07T15:43:12.725+08:00,1788766992.725679,console/rosbag,"Published waypoint 1 goal: [x 3.00, y 0.00, z 1.00]"
2026-09-07T15:43:12.725+08:00,1788766992.725913,console/rosbag,"/goal: [3.0, 0.0, 1.0]"
2026-09-07T15:43:12.740+08:00,1788766992.740327,console/rosbag,[px4ctrl] AUTO_HOVER(L2) --> CMD_CTRL(L3)
2026-09-07T15:43:21.801+08:00,1788767001.801891,console/rosbag,"Waypoint 1 arrived, ros_time=1788767001.802, distance=0.092, speed=0.130"
2026-09-07T15:43:22.139+08:00,1788767002.139904,console/rosbag,[px4ctrl] From CMD_CTRL(L3) to AUTO_HOVER(L2)!
2026-09-07T15:43:23.852+08:00,1788767003.852926,console/rosbag,"/mission/gimbal_task: [1.0, 0.0, 0.0, 2.0, 1.0, -135.0, 135.0]"
2026-09-07T15:43:34.078+08:00,1788767014.078865,console/rosbag,/mission/gimbal_done: 1
2026-09-07T15:43:34.078+08:00,1788767014.078948,console/rosbag,"Waypoint 1 gimbal done, ros_time=1788767014.079"
2026-09-07T15:43:34.079+08:00,1788767014.079098,console/rosbag,"Published waypoint 2 goal: [x 5.00, y 3.00, z 1.00]"
2026-09-07T15:43:34.079+08:00,1788767014.079412,console/rosbag,"/goal: [5.0, 3.0, 1.0]"
2026-09-07T15:43:34.110+08:00,1788767014.110958,console/rosbag,[px4ctrl] AUTO_HOVER(L2) --> CMD_CTRL(L3)
2026-09-07T15:43:44.752+08:00,1788767024.752219,console/rosbag,"Waypoint 2 arrived, ros_time=1788767024.752, distance=0.018, speed=0.107"
2026-09-07T15:43:45.171+08:00,1788767025.171986,console/rosbag,[px4ctrl] From CMD_CTRL(L3) to AUTO_HOVER(L2)!
2026-09-07T15:43:46.752+08:00,1788767026.752532,console/rosbag,"/mission/gimbal_task: [2.0, 0.0, 0.0, 2.0, 1.0, -135.0, 135.0]"
2026-09-07T15:43:56.979+08:00,1788767036.979653,console/rosbag,"Waypoint 2 gimbal done, ros_time=1788767036.980"
2026-09-07T15:43:56.979+08:00,1788767036.979686,console/rosbag,/mission/gimbal_done: 2
2026-09-07T15:43:57.925+08:00,1788767037.925981,console/rosbag,"Published waypoint 1 goal: [x 0.00, y 0.00, z 1.00]"
2026-09-07T15:43:57.926+08:00,1788767037.926126,console/rosbag,"/goal: [0.0, 0.0, 1.0]"
2026-09-07T15:43:57.952+08:00,1788767037.952187,console/rosbag,[px4ctrl] AUTO_HOVER(L2) --> CMD_CTRL(L3)
2026-09-07T15:44:13.701+08:00,1788767053.701968,console/rosbag,"Waypoint 1 arrived, ros_time=1788767053.702, distance=0.116, speed=0.117"
2026-09-07T15:44:13.982+08:00,1788767053.982076,console/rosbag,[px4ctrl] From CMD_CTRL(L3) to AUTO_HOVER(L2)!
2026-09-07T15:44:24.431+08:00,1788767064.431770,console/rosbag,/px4ctrl/takeoff_land: 2
2026-09-07T15:44:24.433+08:00,1788767064.433538,console/rosbag,[px4ctrl] AUTO_HOVER(L2) --> AUTO_LAND
2026-09-07T15:44:25.451+08:00,1788767065.451879,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:26.451+08:00,1788767066.451993,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:27.502+08:00,1788767067.502714,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:28.503+08:00,1788767068.503061,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
